Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
BGR,0,0,0,0,1,293.2,1900,1905,1,1,0,1,0.17666,0.15846,100000,15846,89700,4154872,41.55,42.07
BGR,0,0,0,0,1,293.2,1900,1905,1,1,1,1,0.07313,0.07055,84154,5937,81186,4065172,48.31,48.81
BGR,0,0,0,0,1,293.2,1900,1905,1,1,2,1,0.04069,0.03988,78217,3119,76658,3983986,50.94,51.44
BGR,0,0,0,0,1,293.2,1900,1905,1,1,3,1,0.02636,0.02602,75098,1954,74121,3907329,52.03,52.53
BGR,0,0,0,0,1,293.2,1900,1905,1,1,4,1,0.01848,0.01831,73144,1339,72474,3833208,52.41,52.91
BGR,0,0,0,0,1,293.2,1900,1905,1,1,5,1,0.01452,0.01441,71805,1035,71288,3760733,52.37,52.88
BGR,0,0,0,0,1,293.2,1900,1905,1,1,6,1,0.01128,0.01122,70770,794,70373,3689446,52.13,52.64
BGR,0,0,0,0,1,293.2,1900,1905,1,1,7,1,0.00922,0.00917,69976,642,69655,3619073,51.72,52.22
BGR,0,0,0,0,1,293.2,1900,1905,1,1,8,1,0.00775,0.00772,69334,535,69066,3549418,51.19,51.7
BGR,0,0,0,0,1,293.2,1900,1905,1,1,9,1,0.00684,0.00682,68799,469,68564,3480351,50.59,51.09
BGR,0,0,0,0,1,293.2,1900,1905,1,1,10,1,0.00617,0.00615,68330,420,68120,3411787,49.93,50.43
BGR,0,0,0,0,1,293.2,1900,1905,1,1,11,1,0.00548,0.00546,67910,371,67724,3343667,49.24,49.74
BGR,0,0,0,0,1,293.2,1900,1905,1,1,12,1,0.00521,0.0052,67539,351,67364,3275942,48.5,49.01
BGR,0,0,0,0,1,293.2,1900,1905,1,1,13,1,0.0051,0.00509,67188,342,67017,3208579,47.76,48.26
BGR,0,0,0,0,1,293.2,1900,1905,1,1,14,1,0.00516,0.00515,66846,344,66674,3141562,47,47.5
BGR,0,0,0,0,1,293.2,1900,1905,1,1,15,1,0.00529,0.00528,66502,351,66326,3074888,46.24,46.74
BGR,0,0,0,0,1,293.2,1900,1905,1,1,16,1,0.00567,0.00565,66151,374,65964,3008561,45.48,45.98
BGR,0,0,0,0,1,293.2,1900,1905,1,1,17,1,0.00622,0.0062,65777,408,65573,2942597,44.74,45.24
BGR,0,0,0,0,1,293.2,1900,1905,1,1,18,1,0.00683,0.00681,65369,445,65146,2877024,44.01,44.51
BGR,0,0,0,0,1,293.2,1900,1905,1,1,19,1,0.00748,0.00745,64924,484,64682,2811878,43.31,43.81
BGR,0,0,0,0,1,293.2,1900,1905,1,1,20,1,0.00816,0.00813,64440,524,64178,2747196,42.63,43.13
BGR,0,0,0,0,1,293.2,1900,1905,1,1,21,1,0.00878,0.00875,63916,559,63636,2683018,41.98,42.48
BGR,0,0,0,0,1,293.2,1900,1905,1,1,22,1,0.00931,0.00926,63357,587,63064,2619381,41.34,41.85
BGR,0,0,0,0,1,293.2,1900,1905,1,1,23,1,0.00959,0.00954,62770,599,62470,2556318,40.73,41.23
BGR,0,0,0,0,1,293.2,1900,1905,1,1,24,1,0.00989,0.00984,62171,612,61865,2493847,40.11,40.62
BGR,0,0,0,0,1,293.2,1900,1905,1,1,25,1,0.01001,0.00996,61559,613,61252,2431982,39.51,40.01
BGR,0,0,0,0,1,293.2,1900,1905,1,1,26,1,0.00996,0.00991,60946,604,60644,2370730,38.9,39.4
BGR,0,0,0,0,1,293.2,1900,1905,1,1,27,1,0.00896,0.00892,60342,538,60073,2310086,38.28,38.79
BGR,0,0,0,0,1,293.2,1900,1905,1,1,28,1,0.00843,0.00839,59804,502,59553,2250013,37.62,38.13
BGR,0,0,0,0,1,293.2,1900,1905,1,1,29,1,0.0083,0.00826,59302,490,59057,2190460,36.94,37.44
BGR,0,0,0,0,1,293.2,1900,1905,1,1,30,1,0.00826,0.00823,58812,484,58570,2131403,36.24,36.74
BGR,0,0,0,0,1,293.2,1900,1905,1,1,31,1,0.00838,0.00835,58328,487,58084,2072833,35.54,36.04
BGR,0,0,0,0,1,293.2,1900,1905,1,1,32,1,0.00852,0.00849,57841,491,57596,2014748,34.83,35.34
BGR,0,0,0,0,1,293.2,1900,1905,1,1,33,1,0.00855,0.00851,57350,488,57106,1957153,34.13,34.63
BGR,0,0,0,0,1,293.2,1900,1905,1,1,34,1,0.00876,0.00872,56862,496,56614,1900047,33.42,33.92
BGR,0,0,0,0,1,293.2,1900,1905,1,1,35,1,0.00887,0.00884,56366,498,56117,1843433,32.7,33.21
BGR,0,0,0,0,1,293.2,1900,1905,1,1,36,1,0.00917,0.00913,55868,510,55613,1787316,31.99,32.49
BGR,0,0,0,0,1,293.2,1900,1905,1,1,37,1,0.00947,0.00943,55358,522,55097,1731703,31.28,31.79
BGR,0,0,0,0,1,293.2,1900,1905,1,1,38,1,0.00986,0.00981,54836,538,54567,1676606,30.57,31.08
BGR,0,0,0,0,1,293.2,1900,1905,1,1,39,1,0.01055,0.0105,54298,570,54013,1622039,29.87,30.38
BGR,0,0,0,0,1,293.2,1900,1905,1,1,40,1,0.01146,0.01139,53728,612,53422,1568026,29.18,29.69
BGR,0,0,0,0,1,293.2,1900,1905,1,1,41,1,0.01216,0.01209,53116,642,52795,1514604,28.52,29.02
BGR,0,0,0,0,1,293.2,1900,1905,1,1,42,1,0.01273,0.01265,52474,664,52142,1461809,27.86,28.36
BGR,0,0,0,0,1,293.2,1900,1905,1,1,43,1,0.01341,0.01332,51810,690,51465,1409667,27.21,27.71
BGR,0,0,0,0,1,293.2,1900,1905,1,1,44,1,0.01391,0.01381,51120,706,50767,1358202,26.57,27.07
BGR,0,0,0,0,1,293.2,1900,1905,1,1,45,1,0.0143,0.0142,50414,716,50056,1307435,25.93,26.44
BGR,0,0,0,0,1,293.2,1900,1905,1,1,46,1,0.01472,0.01461,49698,726,49335,1257379,25.3,25.8
BGR,0,0,0,0,1,293.2,1900,1905,1,1,47,1,0.01545,0.01534,48972,751,48596,1208044,24.67,25.17
BGR,0,0,0,0,1,293.2,1900,1905,1,1,48,1,0.01582,0.0157,48221,757,47842,1159447,24.04,24.55
BGR,0,0,0,0,1,293.2,1900,1905,1,1,49,1,0.01621,0.01608,47464,763,47082,1111605,23.42,23.92
BGR,0,0,0,0,1,293.2,1900,1905,1,1,50,1,0.01667,0.01653,46701,772,46315,1064522,22.79,23.3
BGR,0,0,0,0,1,293.2,1900,1905,1,1,51,1,0.01724,0.01709,45929,785,45536,1018207,22.17,22.67
BGR,0,0,0,0,1,293.2,1900,1905,1,1,52,1,0.01788,0.01772,45144,800,44744,972671,21.55,22.05
BGR,0,0,0,0,1,293.2,1900,1905,1,1,53,1,0.01876,0.01858,44344,824,43932,927927,20.93,21.43
BGR,0,0,0,0,1,293.2,1900,1905,1,1,54,1,0.02001,0.01981,43520,862,43089,883995,20.31,20.82
BGR,0,0,0,0,1,293.2,1900,1905,1,1,55,1,0.02106,0.02084,42658,889,42214,840906,19.71,20.22
BGR,0,0,0,0,1,293.2,1900,1905,1,1,56,1,0.02274,0.02248,41769,939,41300,798692,19.12,19.63
BGR,0,0,0,0,1,293.2,1900,1905,1,1,57,1,0.02432,0.02403,40830,981,40340,757393,18.55,19.05
